from,to,text,where,time,movie_num,text_processed
han solo,,"That's right, yeah! I got some old debts I've got to pay off with this stuff. Even if I didn't, you don't think I'd be fool enough to stick around here, do you? Why don't you come with us? You're pretty good in a fight. I could use you.",INT. MASSASSI OUTPOST - MAIN HANGAR DECK,,4,thats right yeah i got some old debts ive got to pay off with this stuff even if i didnt you dont think id be fool enough to stick around here do you why dont you come with us youre pretty good in a fight i could use you
luke,,"(getting angry) Come on! Why don't you take a look around? You know what's about to happen, what they're up against. They could use a good pilot like you. You're turning your back on them.",INT. MASSASSI OUTPOST - MAIN HANGAR DECK,,4,getting angry come on why dont you take a look around you know whats about to happen what theyre up against they could use a good pilot like you youre turning your back on them
han solo,,"What good's a reward if you ain't around to use it? Besides, attacking that battle station ain't my idea of courage. It's more like suicide.",INT. MASSASSI OUTPOST - MAIN HANGAR DECK,,4,what goods a reward if you aint around to use it besides attacking that battle station aint my idea of courage its more like suicide
luke,,"All right. Well, take care of yourself, Han. I guess that's what you're best at, isn't it?",INT. MASSASSI OUTPOST - MAIN HANGAR DECK,,4,all right well take care of yourself han i guess thats what youre best at isnt it
han solo,,"Hey, Luke... may the Force be with you!",INT. MASSASSI OUTPOST - MAIN HANGAR DECK,,4,hey luke may the force be with you
han solo,,What're you lookin' at? I know what I'm doing.,INT. MASSASSI OUTPOST - MAIN HANGAR DECK,,4,whatre you lookin at i know what im doing
leia,,What's wrong?,INT. MAIN HANGAR DECK - LUKE'S SHIP,,4,whats wrong
luke,,"Oh, it's Han! I don't know, I really thought he'd change his mind.",INT. MAIN HANGAR DECK - LUKE'S SHIP,,4,oh its han i dont know i really thought hed change his mind
leia,,He's got to follow his own path. No one can choose it for him.,INT. MAIN HANGAR DECK - LUKE'S SHIP,,4,hes got to follow his own path no one can choose it for him
luke,,I only wish Ben were here.,INT. MAIN HANGAR DECK - LUKE'S SHIP,,4,i only wish ben were here
biggs,,Luke! I don't believe it! How'd you get here... are you going out with us?!,INT. MAIN HANGAR DECK - LUKE'S SHIP,,4,luke i dont believe it howd you get here are you going out with us
luke,,"Biggs! Of course, I'll be up there with you! Listen, have I got some stories to tell...",INT. MAIN HANGAR DECK - LUKE'S SHIP,,4,biggs of course ill be up there with you listen have i got some stories to tell
red leader,,Are you... Luke Skywalker? Have you been checked out on the Incom T-sixty- five?,INT. MAIN HANGAR DECK - LUKE'S SHIP,,4,are you luke skywalker have you been checked out on the incom tsixty five
biggs,,"Sir, Luke is the best bushpilot in the outer rim territories.",INT. MAIN HANGAR DECK - LUKE'S SHIP,,4,sir luke is the best bushpilot in the outer rim territories
red leader,,"I met your father once when I was just a boy, he was a great pilot. You'll do all right. If you've got half of your father's skill, you'll do better than all right.",INT. MAIN HANGAR DECK - LUKE'S SHIP,,4,i met your father once when i was just a boy he was a great pilot youll do all right if youve got half of your fathers skill youll do better than all right
luke,,"Thank you, sir. I'll try.",INT. MAIN HANGAR DECK - LUKE'S SHIP,,4,thank you sir ill try
biggs,,"I've got to get aboard. Listen, you'll tell me your stories when we come back. All right?",INT. MAIN HANGAR DECK - LUKE'S SHIP,,4,ive got to get aboard listen youll tell me your stories when we come back all right
luke,,"I told you I'd make it someday, Biggs.",INT. MAIN HANGAR DECK - LUKE'S SHIP,,4,i told you id make it someday biggs
biggs,,"(going off) You did, all right. It's going to be like old times, Luke. We're a couple of shooting stars that'll never be stopped!",INT. MAIN HANGAR DECK - LUKE'S SHIP,,4,going off you did all right its going to be like old times luke were a couple of shooting stars thatll never be stopped
chief,,This R2 unit of your seems a bit beat up. Do you want a new one?,INT. MAIN HANGAR DECK - LUKE'S SHIP,,4,this r unit of your seems a bit beat up do you want a new one
luke,,"Not on your life! That little droid and I have been through a lot together. (to ARTOO) You okay, ARTOO?",INT. MAIN HANGAR DECK - LUKE'S SHIP,,4,not on your life that little droid and i have been through a lot together to artoo you okay artoo
chief,,"Okay, easy she goes!",INT. MAIN HANGAR DECK - LUKE'S SHIP,,4,okay easy she goes
threepio,,"Hang on tight,ARTOO, you've got to come back.",INT. MAIN HANGAR DECK - LUKE'S SHIP,,4,hang on tightartoo youve got to come back
threepio,,"You wouldn't want my life to get boring, would you?",INT. MAIN HANGAR DECK - LUKE'S SHIP,,4,you wouldnt want my life to get boring would you
obi wan,,"Luke, the Force will be with you.",INT. MAIN HANGAR DECK - LUKE'S SHIP,,4,luke the force will be with you
massassi intercom voice,,"Stand-by alert. Death Star approaching. Estimated time to firing range, fifteen minutes.",INT. MASSASSI OUTPOST - WAR ROOM,,4,standby alert death star approaching estimated time to firing range fifteen minutes
red leader,,All wings report in.,INT. RED LEADER STARSHIP - COCKPIT,,4,all wings report in
red ten,,Red Ten standing by.,INT. ANOTHER COCKPIT,,4,red ten standing by
red seven,,(over Biggs' headset) Red Seven standing by.,INT. BIGGS' COCKPIT,,4,over biggs headset red seven standing by
biggs,,Red Three standing by.,INT. BIGGS' COCKPIT,,4,red three standing by
porkins,,Red Six standing by.,INT. PORKINS' COCKPIT,,4,red six standing by
red nine,,(over headset) Red Nine standing by.,INT. PORKINS' COCKPIT,,4,over headset red nine standing by
wedge,,Red Two standing by.,INT. WEDGE'S FIGHTER - COCKPIT,,4,red two standing by
red eleven,,(over headset) Red Eleven standing by.,INT. LUKE'S X-WING FIGHTER - COCKPIT,,4,over headset red eleven standing by
luke,,Red Five standing by.,INT. LUKE'S X-WING FIGHTER - COCKPIT,,4,red five standing by
red leader,,Lock S-foils in attack position.,INT. RED LEADER'S FIGHTER - COCKPIT,,4,lock sfoils in attack position
read leader,,(over headset) We're passing through their magnetic field.,INT. BIGGS' COCKPIT,,4,over headset were passing through their magnetic field
red leader,,Hold tight!,INT. RED LEADER'S COCKPIT,,4,hold tight
red leader,,(over headset) Switch your deflectors on.,INT. LUKE'S X-WING FIGHTER - COCKPIT,,4,over headset switch your deflectors on
red leader,,(over headset) Double front!,INT. ANOTHER COCKPIT,,4,over headset double front
wedge,,Look at the size of that thing!,INT. WEDGE'S COCKPIT,,4,look at the size of that thing
red leader,,"(over headset) Cut the chatter, Red Two.",INT. WEDGE'S COCKPIT,,4,over headset cut the chatter red two
red leader,,"Accelerate to attack speed. This is it, boys!",INT. RED LEADER'S COCKPIT,,4,accelerate to attack speed this is it boys
gold leader,,"Red Leader, this is Gold Leader.",INT. GOLD LEADER'S COCKPIT,,4,red leader this is gold leader
red leader,,"(over headset) I copy, Gold Leader.",INT. GOLD LEADER'S COCKPIT,,4,over headset i copy gold leader
gold leader,,We're starting for the target shaft now.,INT. GOLD LEADER'S COCKPIT,,4,were starting for the target shaft now
red leader,,We're in position. I'm going to cut across the axis and try and draw their fire.,INT. RED LEADER'S COCKPIT,,4,were in position im going to cut across the axis and try and draw their fire
wedge,,"(over war room speaker system) Heavy fire, boss! Twenty-degrees.",INT. MASSASSI OUTPOST - WAR ROOM,,4,over war room speaker system heavy fire boss twentydegrees
red leader,,(over speaker) I see it. Stay low.,INT. MASSASSI OUTPOST - WAR ROOM,,4,over speaker i see it stay low
luke,,This is Red Five; I'm going in!,INT. LUKE'S X-WING FIGHTER - COCKPIT,,4,this is red five im going in
biggs,,"(over headset) Luke, pull up!",INT. LUKE'S X-WING FIGHTER - COCKPIT,,4,over headset luke pull up
biggs,,Are you all right?,INT. BIGGS' COCKPIT,,4,are you all right
luke,,"I got a little cooked, but I'm okay.",INT. LUKE'S X-WING FIGHTER - COCKPIT,,4,i got a little cooked but im okay
astro-officer,,"We count thirty Rebel ships, Lord Vader. But they're so small they're evading our turbo-lasers!",INT. DEATH STAR,,4,we count thirty rebel ships lord vader but theyre so small theyre evading our turbolasers
darth vader,,We'll have to destroy them ship to ship. Get the crews to their fighters.,INT. DEATH STAR,,4,well have to destroy them ship to ship get the crews to their fighters
red leader,,"Luke, let me know when you're going in.",INT. READ LEADER'S X-WING FIGHTER - COCKPIT - TRAVELING,,4,luke let me know when youre going in
luke,,I'm on my way in now...,INT. LUKE'S X-WING - COCKPIT - TRAVELING,,4,im on my way in now
red leader,,Watch yourself! There's a lot of fire coming from the right side of that deflection tower.,INT. LUKE'S X-WING - COCKPIT - TRAVELING,,4,watch yourself theres a lot of fire coming from the right side of that deflection tower
luke,,I'm on i,INT. LUKE'S X-WING - COCKPIT - TRAVELING,,4,im on i
control officer,,"Squad leaders, we've picked up a new group of signals. Enemy fighters coming your way.",INT. MASSASSI OUTPOST - WAR ROO,,4,squad leaders weve picked up a new group of signals enemy fighters coming your way
luke,,My scope's negative. I don't see anything.,INT. LUKE'S X-WING - COCKPIT - TRAVELING,,4,my scopes negative i dont see anything
red leader,,"Keep up your visual scanning. With all this jamming, they'll be on top of you before your scope can pick them up.",INT. RED LEADER'S X-WING - COCKPIT - TRAVELING,,4,keep up your visual scanning with all this jamming theyll be on top of you before your scope can pick them up
red leader,,Biggs! You've picked one up... watch it!,INT. RED LEADER'S COCKPIT,,4,biggs youve picked one up watch it
biggs,,I can't see it! Where is he?!,INT. RED LEADER'S COCKPIT,,4,i cant see it where is he
biggs,,"He's on me tight, I can't shake him... I can't shake him.",INT. BIGGS' COCKPIT - TRAVELIN,,4,hes on me tight i cant shake him i cant shake him
luke,,"Hang on, Biggs, I'm coming in.",INT. X-WING FIGHTER - COCKPIT - TRAVELING,,4,hang on biggs im coming in
luke,,Got him!,INT. LUKE'S X-WING FIGHTER - COCKPIT - TRAVELING,,4,got him
darth vader,,Several fighters have broken off from the main group. Come with me!,INT. DEATH STAR,,4,several fighters have broken off from the main group come with me
biggs,,(over speaker) Pull in! Luke... pull in!,INT. MASSASSI OUTPOST - WAR ROOM,,4,over speaker pull in luke pull in
wedge,,"(over speaker) Watch your back, Luke!",INT. MASSASSI OUTPOST - WAR ROOM,,4,over speaker watch your back luke
wedge,,"(over headset) Watch your back! Fighter's above you, coming in!",INT. LUKE'S X-WING FIGHTER - COCKPIT,,4,over headset watch your back fighters above you coming in
luke,,"I'm hit, but not bad.",INT. LUKE'S X-WING FIGHTER - COCKPIT,,4,im hit but not bad
luke,,"ARTOO, see what you can do with it. Hang on back there.",INT. LUKE'S X-WING FIGHTER - COCKPIT,,4,artoo see what you can do with it hang on back there
red leader,,(over headset) Red Six...,INT. LUKE'S X-WING - COCKPIT,,4,over headset red six
red leader,, Can you see Red Five?,INT. MASSASSI OUTPOST - WAR ROOM,,4, can you see red five
red ten,,"There's a heavy fire zone on this side. Red Five, where are you?",INT. MASSASSI OUTPOST - WAR ROOM,,4,theres a heavy fire zone on this side red five where are you
luke,,I can't shake him!,INT. LUKE'S X-WING - COCKPIT,,4,i cant shake him
wedge,,"I'm on him, Luke!",INT. WEDGE'S COCKPIT,,4,im on him luke
wedge,,Hold on!,INT. LUKE'S X-WING - COCKPIT,,4,hold on
luke,,Blast it! Wedge where are you?,INT. LUKE'S X-WING - COCKPIT,,4,blast it wedge where are you
luke,,"Thanks, Wedge.",INT. LUKE'S X-WING - COCKPIT,,4,thanks wedge
biggs,,"(over speaker) Good shooting, Wedge!",INT. MASSASSI OUTPOST - WAR ROOM,,4,over speaker good shooting wedge
gold leader,,(over speaker) Red Leader...,INT. MASSASSI OUTPOST - WAR ROOM,,4,over speaker red leader
gold leader,,This is Gold Leader. We're starting out attack run.,INT. GOLD LEADER'S Y-WING - COCKPIT,,4,this is gold leader were starting out attack run
red leader,,"(over speaker) I copy, Gold Leader. Move into position.",INT. MASSASSI OUTPOST - WAR ROOM,,4,over speaker i copy gold leader move into position
darth vader,,Stay in attack formation!,INT. DARTH VADER'S COCKPIT,,4,stay in attack formation
gold leader,,(over speaker) The exhaust post is...,INT. MASSASSI OUTPOST - WAR ROOM,,4,over speaker the exhaust post is
gold leader,,...marked and locked in!,INT. GOLD LEADER'S Y-WING - COCKPIT,,4,marked and locked in
gold leader,,Switch power to front deflector screens.,INT. GOLD LEADER'S Y-WING - COCKPIT,,4,switch power to front deflector screens
gold leader,,"How many guns do you think, Gold Five.",INT. GOLD LEADER'S Y-WING - COCKPIT,,4,how many guns do you think gold five
gold five,,"(over speaker) I'd say about twenty guns. Some on the surface, some on the towers.",INT. MASSASSI OUTPOST - WAR ROOM,,4,over speaker id say about twenty guns some on the surface some on the towers
massassi intercom voice,,(over speaker) Death Star will be in range in five minutes.,INT. MASSASSI OUTPOST - WAR ROOM,,4,over speaker death star will be in range in five minutes
gold leader,,Switching to targeting computer.,INT. GOLD LEADER'S Y-WING - COCKPIT,,4,switching to targeting computer
gold two,,Computer's locked. Getting a signal.,INT. GOLD TWO'S Y-WING - COCKPIT,,4,computers locked getting a signal
gold two,,The guns... they've stopped!,INT. GOLD TWO'S Y-WING - COCKPIT,,4,the guns theyve stopped
gold five,,Stabilize your read deflectors. Watch for enemy fighters.,EXT. GOLD FIVE'S COCKPIT,,4,stabilize your read deflectors watch for enemy fighters
gold leader,,They've coming in! Three marks at two ten.,INT. GOLD LEADER'S Y-WING - COCKPIT,,4,theyve coming in three marks at two ten
darth vader,,I'll take them myself! Cover me!,INT. DARTH VADER'S COCKPIT,,4,ill take them myself cover me
wingman's voice,,"(over speaker) Yes, sir.",INT. DARTH VADER'S COCKPIT,,4,over speaker yes sir
gold leader,, (into mike) I can't maneuver!,INT. GOLD LEADER'S Y-WING - COCKPIT,,4, into mike i cant maneuver
gold five,,Stay on target.,INT. GOLD FIVE'S Y-WING - COCKPIT,,4,stay on target
gold leader,,We're too close.,INT. GOLD LEADER'S Y-WING - COCKPIT,,4,were too close
gold five,,Stay on target!,INT. GOLD FIVE'S Y-WING - COCKPIT,,4,stay on target
gold leader,,Loosen up!,INT. GOLD LEADER'S Y-WING - COCKPIT,,4,loosen up
gold five,,Gold Five to Red Leader...,INT. GOLD FIVE'S Y-WING - COCKPIT,,4,gold five to red leader
gold five,,"(over headset) Lost Tiree, lost Dutch.",INT. LUKE'S X-WING FIGHTER - COCKPIT,,4,over headset lost tiree lost dutch
red leader,,"I copy, Gold Five.",INT. RED LEADER'S COCKPIT,,4,i copy gold five
gold five,,They came from behind...,INT. GOLD FIVE'S Y-WING - COCKPIT,,4,they came from behind
officer,,"We've analyzed their attack, sir, and there is a danger. Should I have your ship standing by?",INT. DEATH STAR - CONTROL ROOM,,4,weve analyzed their attack sir and there is a danger should i have your ship standing by
tarkin,,Evacuate? In out moment of triumph? I think you overestimate their chances!,INT. DEATH STAR - CONTROL ROOM,,4,evacuate in out moment of triumph i think you overestimate their chances
voice,,"(over speaker) Rebel base, three minutes and closing.",INT. DEATH STAR - CONTROL ROOM,,4,over speaker rebel base three minutes and closing
red leader,,"Red Group, this is Red Leader.",INT. READ LEADER'S COCKPIT,,4,red group this is red leader
red leader,,(over speaker) Rendezvous at mark six point one.,INT. MASSASSI OUTPOST - WAR ROOM,,4,over speaker rendezvous at mark six point one
wedge,,(over speaker) This is Red Two. Flying toward you.,INT. MASSASSI OUTPOST - WAR ROOM,,4,over speaker this is red two flying toward you
biggs,,"(over speaker) Red Three, standing by.",INT. MASSASSI OUTPOST - WAR ROOM,,4,over speaker red three standing by
dodonna,,"(over headset) Red Leader, this is Base One. Keep half your group out of range for the next run.",INT. RED LEADER'S COCKPIT,,4,over headset red leader this is base one keep half your group out of range for the next run
red leader,,"(over headset) Copy, Base One. Luke, take Red Two and Three. Hold up here and wait for my signal... to start your run.",INT. LUKE'S X-WING FIGHTER - COCKPIT,,4,over headset copy base one luke take red two and three hold up here and wait for my signal to start your run
red leader,,This is it!,INT. RED LEADER'S COCKPIT,,4,this is it
red ten,,We should be able to see it by now.,INT. RED TEN'S COCKPIT,,4,we should be able to see it by now
red leader,,Keep your eyes open for those fighters!,INT. RED LEADER'S COCKPIT,,4,keep your eyes open for those fighters
red ten,,There's too much interference!,INT. RED TEN'S COCKPIT,,4,theres too much interference
red ten,,"Red Five, can you see them from where you are?",EXT. SPACE - DEATH STAR TRENCH,,4,red five can you see them from where you are
luke,,No sign of any... wait!,INT. LUKE'S X-WING FIGHTER - COCKPIT,,4,no sign of any wait
luke,,(over headset) Coming in point three five.,INT. RED TEN'S COCKPIT,,4,over headset coming in point three five
red ten,,I see them.,INT. RED TEN'S COCKPIT,,4,i see them
red leader,,I'm in range.,INT. RED LEADER'S COCKPIT,,4,im in range
red leader,,Target's coming up!,INT. RED LEADER'S COCKPIT,,4,targets coming up
red leader,,Just hold them off for a few seconds.,INT. RED LEADER'S COCKPIT,,4,just hold them off for a few seconds
darth vader,,Close up formation.,INT. DARTH VADER'S COCKPIT,,4,close up formation
red ten,,You'd better let her loose.,INT. RED TEN'S COCKPIT,,4,youd better let her loose
red leader,,Almost there!,INT. RED LEADER'S COCKPIT,,4,almost there
red ten,,I can't hold them!,INT. RED TEN'S COCKPIT,,4,i cant hold them
red leader,,It's away!,INT. RED LEADER'S COCKPIT,,4,its away
red nine,,(over speaker) It's a hit!,INT. MASSASSI OUTPOST - WAR ROOM,,4,over speaker its a hit
red leader,,(over speaker) Negative.,INT. MASSASSI OUTPOST - WAR ROOM,,4,over speaker negative
red leader,,Negative! It didn't go in. It just impacted on the surface.,INT. RED LEADER'S COCKPIT,,4,negative it didnt go in it just impacted on the surface
luke,,"(over headset) Red Leader, we're right above you. Turn to point...",INT. RED LEADER'S COCKPIT,,4,over headset red leader were right above you turn to point
luke,,...oh-five; we'll cover for you.,INT. LUKE'S X-WING FIGHTER - COCKPIT,,4,ohfive well cover for you
red leader,,(over headset) Stay there...,INT. LUKE'S X-WING FIGHTER - COCKPIT,,4,over headset stay there
red leader,,...I just lost my starboard engine.,INT. RED LEADER'S COCKPIT,,4,i just lost my starboard engine
red leader,,(over headset) Get set to make your attack run.,INT. LUKE'S X-WING FIGHTER - COCKPIT,,4,over headset get set to make your attack run
death star intercom voice,,"Rebel base, one minute and closing.",INT. DEATH STAR,,4,rebel base one minute and closing
luke,,"(over speaker) Biggs, Wedge, let's close it up. We're going in. We're going in full throttle.",INT. MASSASSI OUTPOST - WAR ROOM,,4,over speaker biggs wedge lets close it up were going in were going in full throttle
wedge,,"Right with you, boss.",INT. WEDGE'S COCKPIT,,4,right with you boss
biggs,,"Luke, at that speed will you be able to pull out in time?",INT. BIGGS' COCKPIT,,4,luke at that speed will you be able to pull out in time
luke,,It'll be just like Beggar's Canyon back home.,INT. LUKE'S X-WING FIGHTER - COCKPIT,,4,itll be just like beggars canyon back home
biggs,,We'll stay back far enough to cover you.,INT. BIGGS' COCKPIT,,4,well stay back far enough to cover you
wedge,,"(over headset) My scope shows the tower, but I can't see the exhaust port! Are you sure the computer can hit it?",INT. LUKE'S COCKPIT,,4,over headset my scope shows the tower but i cant see the exhaust port are you sure the computer can hit it
luke,,Watch yourself! Increase speed full throttle!,INT. LUKE'S X-WING FIGHTER - COCKPIT,,4,watch yourself increase speed full throttle
wedge,,What about the tower?,INT. WEDGE'S COCKPIT,,4,what about the tower
luke,,You worry about those fighters! I'll worry about the tower!,INT. LUKE'S X-WING FIGHTER - COCKPIT,,4,you worry about those fighters ill worry about the tower
luke,,"(to ARTOO) ARTOO... that, that stabilizer's broken loose again! See if you can't lock it down!",INT. LUKE'S X-WING FIGHTER - COCKPI,,4,to artoo artoo that that stabilizers broken loose again see if you cant lock it down
wedge,,(over speaker) I'm hit! I can't stay with you.,INT. MASSASSI OUTPOST - WAR ROOM,,4,over speaker im hit i cant stay with you
luke,,"(over speaker) Get clear, Wedge.",INT. MASSASSI OUTPOST - WAR ROOM,,4,over speaker get clear wedge
luke,,You can't do any more good back there!,INT. LUKE'S X-WING FIGHTER - COCKPIT,,4,you cant do any more good back there
wedge,,Sorry!,INT. WEDGE'S COCKPIT,,4,sorry
darth vader,,Let him go! Stay on the leader!,INT. DARTH VADER'S COCKPIT,,4,let him go stay on the leader
biggs,,"Hurry, Luke, they're coming in much faster this time. I can't hold them!",INT. BIGGS' COCKPIT,,4,hurry luke theyre coming in much faster this time i cant hold them
luke,,"ARTOO, try and increase the power!",INT. BIGGS' COCKPIT,,4,artoo try and increase the power
biggs,,"(over headset) Hurry up, Luke!",INT. LUKE'S X-WING FIGHTER,,4,over headset hurry up luke
biggs,,Wait!,INT. BIGGS' COCKPIT,,4,wait
death star intercom voice,,"Rebel base, thirty seconds and closing.",INT. DEATH STAR - CONTROL ROOM,,4,rebel base thirty seconds and closing
darth vader,,I'm on the leader.,INT. DARTH VADER'S COCKPIT,,4,im on the leader
threepio,,"Hang on, ARTOO!",INT. MASSASSI OUTPOST - WAR ROOM,,4,hang on artoo
obi wan,,"Use the Force, Luke.",INT. LUKE'S X-WING - COCKPIT,,4,use the force luke
obi wan,,"Let go, Luke.",INT. LUKE'S X-WING - COCKPIT,,4,let go luke
darth vader,,The Force is strong with this one!,INT. DARTH VADER'S COCKPIT,,4,the force is strong with this one
obi wan,,"Luke, trust me.",INT. LUKE'S X-WING - COCKPIT,,4,luke trust me
base voice,,"(over speaker) His computer's off. Luke, you switched off your targeting computer. What's wrong?",INT. MASSASSI OUTPOST - WAR ROOM,,4,over speaker his computers off luke you switched off your targeting computer whats wrong
luke,,(over speaker) Nothing. I'm all right.,INT. MASSASSI OUTPOST - WAR ROOM,,4,over speaker nothing im all right
luke,,I've lost ARTOO!,INT. MASSASSI OUTPOST - WAR ROOM,,4,ive lost artoo
massassi intercom voice,,The Death Star has cleared the planet. The Death Star has cleared the planet.,INT. MASSASSI OUTPOST - WAR ROOM,,4,the death star has cleared the planet the death star has cleared the planet
death star intercom voice,,"Rebel base, in range.",INT. DEATH STAR - CONTROL ROOM,,4,rebel base in range
tarkin,,You may fire when ready.,INT. DEATH STAR - CONTROL ROOM,,4,you may fire when ready
death star intercom voice,,Commence primary ignition.,INT. DEATH STAR - CONTROL ROOM,,4,commence primary ignition
darth vader,,I have you now.,INT. DARTH VADER'S COCKPIT,,4,i have you now
darth vader,,What?,INT. DARTH VADER'S COCKPIT,,4,what
han solo,,(yelling) Yahoo!,INT. DARTH VADER'S COCKPIT,,4,yelling yahoo
wingman,,Look out!,INT. WINGMAN'S COCKPIT,,4,look out
han solo,,"(into mike) You're all clear, kid.",INT. MILLENNIUM FALCON - COCKPIT,,4,into mike youre all clear kid
han solo,,(over speaker) Now let's blow this thing and go home!,INT. MASSASSI OUTPOST - WAR ROOM,,4,over speaker now lets blow this thing and go home
intercom voice,,Stand by to fire at Rebel base.,INT. DEATH STAR,,4,stand by to fire at rebel base
intercom voice,,Standing by.,INT. DEATH STAR,,4,standing by
han solo,,"Great shot, kid. That was one in a million.",INT. MILLENNIUM FALCON - COCKPIT,,4,great shot kid that was one in a million
obi wan,,"Remember, the Force will be with you... always.",INT. LUKE'S X-WING FIGHTER - COCKPIT,,4,remember the force will be with you always
leia,,Luke! Luke! Luke!,INT. MASSASSI OUTPOST - MAIN HANGAR,,4,luke luke luke
han solo,,(laughing) Hey! Hey!,INT. MASSASSI OUTPOST - MAIN HANGAR,,4,laughing hey hey
luke,,(laughing) I knew you'd come back! I just knew it!,INT. MASSASSI OUTPOST - MAIN HANGAR,,4,laughing i knew youd come back i just knew it
han solo,,"Well, I wasn't gonna let you get all the credit and take all the reward.",INT. MASSASSI OUTPOST - MAIN HANGAR,,4,well i wasnt gonna let you get all the credit and take all the reward
leia,,"(laughing) Hey, I knew there was more to you than money.",INT. MASSASSI OUTPOST - MAIN HANGAR,,4,laughing hey i knew there was more to you than money
luke,,"Oh, no!",INT. MASSASSI OUTPOST - MAIN HANGAR,,4,oh no
threepio,,"Oh, my! ARTOO! Can you hear me? Say something! (to mechanic) You can repair him, can't you?",INT. MASSASSI OUTPOST - MAIN HANGAR,,4,oh my artoo can you hear me say something to mechanic you can repair him cant you
technician,,We'll get to work on him right away.,INT. MASSASSI OUTPOST - MAIN HANGAR,,4,well get to work on him right away
threepio,,"You must repair him! Sir, if any of my circuits or gears will help, I'll gladly donate them.",INT. MASSASSI OUTPOST - MAIN HANGAR,,4,you must repair him sir if any of my circuits or gears will help ill gladly donate them
luke,,He'll be all right.,INT. MASSASSI OUTPOST - MAIN HANGAR,,4,hell be all right
luke,,"(into comlink) Echo Three to Echo Seven. Han, old buddy, do you read me?",EXT. PLAIN OF HOTH - DAY,,5,into comlink echo three to echo seven han old buddy do you read me
han,,"(over comlink) Loud and clear, kid. What's up?",EXT. PLAIN OF HOTH - DAY,,5,over comlink loud and clear kid whats up
luke,,"(into comlink) Well, I finished my circle. I don't pick up any life readings.",EXT. PLAIN OF HOTH - DAY,,5,into comlink well i finished my circle i dont pick up any life readings
han,,"(over comlink) There isn't enough life on this ice cube to fill a space cruiser. The sensors are placed, I'm going back.",EXT. PLAIN OF HOTH - DAY,,5,over comlink there isnt enough life on this ice cube to fill a space cruiser the sensors are placed im going back
luke,,(into comlink) Right. I'll see you shortly. There's a meteorite that hit the ground near here. I want to check it out. It won't take long.,EXT. PLAIN OF HOTH - DAY,,5,into comlink right ill see you shortly theres a meteorite that hit the ground near here i want to check it out it wont take long
luke,,"Hey, steady girl. What's the matter? You smell something?",EXT. PLAIN OF HOTH - DAY,,5,hey steady girl whats the matter you smell something
luke,,Aaargh!,EXT. PLAIN OF HOTH - DAY,,5,aaargh
han,,Chewie!,INT. HOTH - REBEL BASE - MAIN HANGAR DECK,,5,chewie
han,,"All right, don't lose your temper. I'll come right back and give you a hand.",INT. HOTH - REBEL BASE - MAIN HANGAR DECK,,5,all right dont lose your temper ill come right back and give you a hand
rieekan,,Solo?,INT. HOTH - REBEL BASE - COMMAND CENTER,,5,solo
han,,"No sign of life out there, General. The sensors are in place. You'll know if anything comes around.",INT. HOTH - REBEL BASE - COMMAND CENTER,,5,no sign of life out there general the sensors are in place youll know if anything comes around
rieekan,,Commander Skywalker reported in yet?,INT. HOTH - REBEL BASE - COMMAND CENTER,,5,commander skywalker reported in yet
han,,No. He's checking out a meteorite that hit near him.,INT. HOTH - REBEL BASE - COMMAND CENTER,,5,no hes checking out a meteorite that hit near him
rieekan,,"(indicates radar screen) With all the meteor activity in this system, it's going to be difficult to spot approaching ships.",INT. HOTH - REBEL BASE - COMMAND CENTER,,5,indicates radar screen with all the meteor activity in this system its going to be difficult to spot approaching ships
han,,"General, I've got to leave. I can't stay anymore.",INT. HOTH - REBEL BASE - COMMAND CENTER,,5,general ive got to leave i cant stay anymore
rieekan,,I'm sorry to hear that.,INT. HOTH - REBEL BASE - COMMAND CENTER,,5,im sorry to hear that
han,,"Well, there's a price on my head. If I don't pay off Jabba the Hut, I'm a dead man.",INT. HOTH - REBEL BASE - COMMAND CENTER,,5,well theres a price on my head if i dont pay off jabba the hut im a dead man
rieekan,,"A death mark's not an easy thing to live with. You're a good fighter, Solo. I hate to lose you.",INT. HOTH - REBEL BASE - COMMAND CENTER,,5,a death marks not an easy thing to live with youre a good fighter solo i hate to lose you
han,,"Thank you, General.",INT. HOTH - REBEL BASE - COMMAND CENTER,,5,thank you general
han,,"(with feeling) Well, Your Highness, I guess this is it.",INT. HOTH - REBEL BASE - COMMAND CENTER,,5,with feeling well your highness i guess this is it
leia,,That's right.,INT. HOTH - REBEL BASE - COMMAND CENTER,,5,thats right
han,,"(cooly) Well, don't get all mushy on me. So long, Princess.",INT. HOTH - REBEL BASE - COMMAND CENTER,,5,cooly well dont get all mushy on me so long princess
leia,,Han!,INT. HOTH - REBEL BASE - ICE CORRIDOR,,5,han
han,,"Yes, Your Highnessness?",INT. HOTH - REBEL BASE - ICE CORRIDOR,,5,yes your highnessness
leia,,I thought you decided to stay.,INT. HOTH - REBEL BASE - ICE CORRIDOR,,5,i thought you decided to stay
han,,"Well, the bounty hunter we ran into on Ord Mantell changed my mind.",INT. HOTH - REBEL BASE - ICE CORRIDOR,,5,well the bounty hunter we ran into on ord mantell changed my mind
leia,,"Han, we need you!",INT. HOTH - REBEL BASE - ICE CORRIDOR,,5,han we need you
han,,We?,INT. HOTH - REBEL BASE - ICE CORRIDOR,,5,we
